zip,latit,longi
33114,25.7683334,-80.2259474
33002,25.8451815,-80.3043337
33018,25.90174,-80.3992652
33017,25.9196504,-80.3007769
33016,25.8711212,-80.3352364
33015,25.9144703,-80.3268812
33014,25.8895587,-80.3045967
33013,25.8404744,-80.2711588
33012,25.8427208,-80.3045967
33011,25.8033621,-80.2793268
33010,25.8178031,-80.2823063
33092,25.4986001,-80.42
33090,25.4552274,-80.4764375
33039,25.4646422,-80.3909164
33035,25.4094763,-80.3992652
33034,25.2705861,-80.610489
33031,25.5091323,-80.4882672
33032,25.5018394,-80.3769999
33030,25.4588747,-80.5271756
33033,25.4707342,-80.4367421
33149,25.6924003,-80.1596041
33181,25.8789879,-80.1484407
33182,25.7611807,-80.3992652
33183,25.6736626,-80.4048306
33184,25.7350021,-80.402048
33185,25.7124881,-80.4604643
33186,25.6439935,-80.3992652
33187,25.5780425,-80.4660256
33188,25.7786001,-80.31
33189,25.5520244,-80.3380213
33190,25.5313233,-80.3352364
33180,25.9367434,-80.1372757
33179,25.9288475,-80.1930859
33178,25.8219675,-80.4326521
33166,25.8021042,-80.3101684
33167,25.8616364,-80.2377078
33168,25.8683407,-80.2070328
33169,25.9186586,-80.2153998
33172,25.7644515,-80.360297
33173,25.6824332,-80.360297
33174,25.7402793,-80.3491599
33175,25.7143117,-80.3992652
33176,25.6410458,-80.3547286
33177,25.5736581,-80.3992652
33165,25.7113582,-80.3547286
33193,25.6773265,-80.4604643
33194,25.6929626,-80.610489
33247,25.8135355,-80.2413493
33255,25.767569,-80.2264393
33256,25.644298,-80.3240206
33257,25.5823699,-80.3498123
33261,25.8577601,-80.19413
33265,25.7086001,-80.36
33266,25.7998226,-80.2833698
33269,25.9241628,-80.2053667
33280,25.9288737,-80.1488255
33283,25.6692725,-80.3833699
33245,25.7292484,-80.2240177
33243,25.6847207,-80.2901289
33242,25.7807456,-80.2255572
33196,25.6483866,-80.4660256
33197,25.5747001,-80.35995
33199,25.7324976,-80.3770443
33206,25.7001468,-80.26835
33222,25.7114725,-80.2415866
33231,25.7086001,-80.3
33233,25.7066111,-80.2454223
33234,25.7086001,-80.24
33238,25.8309458,-80.1945365
33299,25.7501787,-80.1460348
33296,25.6386001,-80.36
33164,25.9086001,-80.18
33101,25.7569255,-80.1990136
33130,25.7453898,-80.2070328
33131,25.7438801,-80.1847167
33132,25.748601,-80.1679758
33133,25.7093898,-80.2377078
33134,25.7350663,-80.2711588
33135,25.7472715,-80.2349196
33136,25.7656968,-80.2042436
33137,25.799316,-80.1819268
33138,25.8344417,-80.1819268
33129,25.7350472,-80.2056382
33128,25.755355,-80.2028489
33127,25.7891184,-80.2042436
33102,25.7786001,-80.31
33106,25.6732762,-80.4489929
33111,25.7486001,-80.19
33112,25.7753844,-80.3850751
33116,25.6420616,-80.4813173
33122,25.7821657,-80.3185252
33124,25.7285746,-80.2599653
33125,25.7648402,-80.2349196
33126,25.7572471,-80.2962385
33170,25.5838353,-80.5549561
33156,25.6365956,-80.2878794
33158,25.6173879,-80.3073826
33157,25.5871925,-80.3380213
33161,25.8695629,-80.1819268
33155,25.7146195,-80.3157397
33162,25.9046795,-80.1819268
33153,25.8441181,-80.1934589
33152,25.7718232,-80.3171325
33151,25.8107805,-80.209725
33150,25.8273632,-80.2070328
33163,25.9286001,-80.15
33142,25.7913792,-80.2377078
33143,25.6779808,-80.2934522
33144,25.7407936,-80.3129541
33145,25.7320664,-80.2265545
33146,25.6999214,-80.2711588
33147,25.8265101,-80.2377078
33159,25.7486001,-80.19
33109,25.734614,-80.1344842
33139,25.7619121,-80.1484407
33141,25.8321636,-80.1484407
33154,25.8657576,-80.1261093
33140,25.7962796,-80.1372757
33119,25.7628282,-80.1321792
33239,25.7685851,-80.1399824
33056,25.9381053,-80.2432839
33160,25.9133378,-80.1372757
33055,25.9231818,-80.2823063
33054,25.8912819,-80.2432839
